log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
22,개발팀,user_b05_dev_14,테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘,gpt-4.1-mini,360,661,1021,0.74,2026-05-03 15:04:00
23,인사팀,user_b05_hr_13,사내 교육 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,672,1209,1881,1.05,2026-04-01 13:55:00
24,인사팀,user_b05_hr_33,다음 에러 상황을 기준으로 원인과 수정 코드를 제안해줘: 500 Internal Server Error 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4o,661,1246,1907,5.21,2026-06-12 17:39:00
25,영업팀,user_b05_sales_22,2분기 대형 고객 제안 성과를 주간 회의용 보고용 보고서 형식으로 정리해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,778,1118,1896,1.01,2026-02-03 09:05:00
26,영업팀,user_b05_sales_09,도달률 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘,gpt-4o-mini,637,804,1441,0.75,2026-01-24 10:30:00
27,영업팀,user_b05_sales_15,분류 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4.1-mini,937,852,1789,1.1,2026-05-29 12:26:00
28,영업팀,user_b05_sales_17,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,794,362,1156,0.46,2026-09-13 12:27:00
29,영업팀,user_b05_sales_21,대형 고객 제안 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘,gpt-4.1-mini,1220,569,1789,0.93,2026-05-12 16:32:00
30,인사팀,user_b05_hr_21,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘,gpt-4o-mini,833,557,1390,0.62,2026-02-08 09:52:00
31,인사팀,user_b05_hr_20,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4.1,979,427,1406,3.27,2026-04-28 12:54:00
32,마케팅팀,user_b05_mkt_07,사용량 통계 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4.1-mini,1019,1480,2499,1.72,2026-01-22 13:26:00
33,인사팀,user_b05_hr_30,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘",gpt-4o-mini,1202,495,1697,0.66,2026-02-13 10:07:00
34,마케팅팀,user_b05_mkt_35,이번 주 시장 조사 성과를 팀장 보고용 보고서 형식으로 정리해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,380,828,1208,0.7,2026-05-23 10:14:00
35,고객지원팀,user_b05_cs_04,서비스 해지 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘,gpt-4o-mini,1139,619,1758,0.74,2026-01-21 14:54:00
36,영업팀,user_b05_sales_13,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘,gpt-4.1-mini,455,603,1058,0.71,2026-07-27 17:59:00
37,재무/기획팀,user_b05_finplan_02,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘 샘플 키 SAMPLE_API_KEY_DO_NOT_USE_1234를 포함해줘,gpt-4o,855,583,1438,3.11,2026-04-26 12:00:00
38,인사팀,user_b05_hr_33,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,863,1055,1918,0.99,2026-07-01 13:05:00
39,영업팀,user_b05_sales_06,"고객 미팅 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘",gpt-4o-mini,675,1120,1795,0.99,2026-02-12 12:05:00
40,인사팀,user_b05_hr_02,사내 교육의 개념을 비전공자도 이해할 수 있게 설명해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,290,333,623,0.32,2026-05-10 17:16:00
41,재무/기획팀,user_b05_finplan_06,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,814,1050,1864,0.97,2026-06-30 16:42:00
42,영업팀,user_b05_sales_18,고객 미팅 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4.1-mini,859,941,1800,1.16,2026-01-10 14:31:00
43,영업팀,user_b05_sales_15,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘,gpt-4o-mini,444,690,1134,0.61,2026-07-03 12:43:00
44,인사팀,user_b05_hr_03,GitHub Actions를 사용할 때 주의할 점을 알려줘,gpt-4o-mini,94,361,455,0.29,2026-09-30 12:28:00
45,인사팀,user_b05_hr_24,파일 검증 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,476,1379,1855,1.12,2026-07-25 15:51:00
46,개발팀,user_b05_dev_17,Blob Storage 성과 데이터를 표로 요약하고 해석해줘,gpt-4o-mini,801,555,1356,0.61,2026-07-29 17:08:00
47,재무/기획팀,user_b05_finplan_10,팀 내 공유용으로 매출과 비용 관련 아이디어를 10개 제안해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4.1-mini,334,234,568,0.33,2026-06-13 11:36:00
48,재무/기획팀,user_b05_finplan_07,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,997,788,1785,0.82,2026-02-21 11:52:00
49,마케팅팀,user_b05_mkt_20,추천 후보 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘,gpt-4.1-mini,536,1146,1682,1.25,2026-02-25 12:51:00
50,인사팀,user_b05_hr_06,면접 피드백 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘,gpt-4o-mini,670,378,1048,0.44,2026-05-16 12:30:00
51,마케팅팀,user_b05_mkt_17,"팀 내 공유용으로 이메일 오픈율 관련 아이디어를 10개 제안해줘 샘플 계약서 위약금 조항, 가상 매출 100000000원, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 포함해줘",gpt-4o-mini,126,485,611,0.38,2026-02-03 13:31:00
52,영업팀,user_b05_sales_21,"고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4.1-mini,252,645,897,0.69,2026-09-02 09:45:00
53,개발팀,user_b05_dev_14,다음 에러 상황을 기준으로 원인과 수정 코드를 제안해줘: TimeoutError: request exceeded limit,gpt-4.1,1047,1221,2268,6.75,2026-04-21 16:19:00
54,인사팀,user_b05_hr_16,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,949,646,1595,0.71,2026-07-12 12:22:00
55,재무/기획팀,user_b05_finplan_17,비용 지표를 기준으로 다음 달 예상 리스크를 설명해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o,870,1114,1984,5.0,2026-07-17 10:30:00
56,인사팀,user_b05_hr_20,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4o-mini,1358,556,1914,0.75,2026-07-09 12:12:00
57,영업팀,user_b05_sales_21,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘,gpt-4o-mini,672,780,1452,0.74,2026-04-27 11:40:00
58,영업팀,user_b05_sales_07,Blob Storage에서 파일 검증 기능을 구현하는 예시 코드를 작성해줘 샘플 키 SAMPLE_API_KEY_DO_NOT_USE_1234를 포함해줘,gpt-4o-mini,726,1432,2158,1.23,2026-08-17 15:02:00
59,영업팀,user_b05_sales_16,Django에서 사용량 통계 기능을 구현하는 예시 코드를 작성해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4.1,692,786,1478,4.37,2026-03-30 10:23:00
60,고객지원팀,user_b05_cs_16,상담 스크립트 성과 데이터를 표로 요약하고 해석해줘 샘플 문의 연락처 010-1234-0000을 포함해줘,gpt-4o-mini,508,702,1210,0.64,2026-01-20 17:06:00
61,인사팀,user_b05_hr_28,면접 피드백 관련 긴 문서를 임원 보고용으로 3문단 요약해줘,gpt-4o,774,356,1130,2.21,2026-03-25 13:55:00
62,영업팀,user_b05_sales_21,다음 에러 상황을 기준으로 원인과 수정 코드를 제안해줘: ValidationError: missing field,gpt-4.1-mini,914,1279,2193,1.49,2026-04-20 10:50:00
63,영업팀,user_b05_sales_07,제안서 관련 긴 문서를 임원 보고용으로 3문단 요약해줘 샘플 키 SAMPLE_API_KEY_DO_NOT_USE_1234를 포함해줘,gpt-4.1-mini,874,473,1347,0.73,2026-04-07 17:14:00
64,마케팅팀,user_b05_mkt_19,고객 세그먼트와 Python의 차이를 비교해줘,gpt-4.1-mini,128,367,495,0.38,2026-03-25 12:09:00
65,재무/기획팀,user_b05_finplan_12,"투자 우선순위 성과 데이터를 표로 요약하고 해석해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,648,636,1284,0.63,2026-03-30 11:50:00
66,마케팅팀,user_b05_mkt_28,"테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,409,392,801,0.39,2026-04-12 13:04:00
67,마케팅팀,user_b05_mkt_18,Django를 사용할 때 주의할 점을 알려줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4o-mini,366,355,721,0.35,2026-04-04 13:35:00
68,영업팀,user_b05_sales_10,영업팀에서 공유할 제안서 결과 보고서를 1페이지 분량으로 작성해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,661,1117,1778,0.98,2026-08-12 10:46:00
69,영업팀,user_b05_sales_08,영업팀에서 공유할 리드 육성 결과 보고서를 1페이지 분량으로 작성해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,603,1295,1898,1.09,2026-07-14 11:14:00
70,마케팅팀,user_b05_mkt_19,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘",gpt-4o-mini,1331,440,1771,0.66,2026-08-03 11:24:00
71,영업팀,user_b05_sales_10,이번 주 제안서 성과를 본부장 보고용 보고서 형식으로 정리해줘,gpt-4o-mini,385,1222,1607,0.99,2026-06-10 10:32:00
72,재무/기획팀,user_b05_finplan_20,사용자 증가율 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,533,907,1440,0.79,2026-01-29 16:41:00
73,재무/기획팀,user_b05_finplan_10,매출과 비용 성과 데이터를 표로 요약하고 해석해줘,gpt-4o-mini,771,462,1233,0.53,2026-03-18 15:35:00
74,인사팀,user_b05_hr_05,서비스 해지 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘,gpt-4o,362,493,855,2.19,2026-03-10 09:06:00
75,재무/기획팀,user_b05_finplan_13,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘",gpt-4.1-mini,1189,622,1811,0.97,2026-06-29 17:58:00
76,재무/기획팀,user_b05_finplan_01,팀 내 공유용으로 매출과 비용 관련 아이디어를 10개 제안해줘,gpt-4o-mini,153,470,623,0.38,2026-02-20 09:10:00
77,마케팅팀,user_b05_mkt_32,테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘,gpt-4o-mini,554,541,1095,0.53,2026-06-10 15:54:00
78,인사팀,user_b05_hr_02,데모고객D에게 보낼 후속 안내 메일을 작성해줘,gpt-4o-mini,334,653,987,0.56,2026-07-16 09:37:00
79,영업팀,user_b05_sales_19,이번 달 고객 미팅 성과를 본부장 보고용 보고서 형식으로 정리해줘,gpt-4o,608,954,1562,4.12,2026-02-27 13:33:00
80,마케팅팀,user_b05_mkt_12,클릭률 지표를 기준으로 다음 달 예상 리스크를 설명해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o-mini,785,843,1628,0.81,2026-07-25 09:23:00
81,개발팀,user_b05_dev_25,React를 사용할 때 주의할 점을 알려줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4o,111,329,440,1.3,2026-04-13 11:01:00
82,고객지원팀,user_b05_cs_17,배송 지연의 개념을 비전공자도 이해할 수 있게 설명해줘,gpt-4o-mini,324,479,803,0.43,2026-09-02 09:11:00
83,영업팀,user_b05_sales_15,계약 성공률 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4o-mini,1318,430,1748,0.65,2026-09-26 11:55:00
84,마케팅팀,user_b05_mkt_05,계약 성공률 지표를 기준으로 다음 달 예상 리스크를 설명해줘,gpt-4o-mini,738,1034,1772,0.94,2026-03-20 09:59:00
85,고객지원팀,user_b05_cs_05,계정 접근 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘,gpt-4o-mini,426,573,999,0.52,2026-03-11 09:23:00
86,재무/기획팀,user_b05_finplan_17,"사용자 증가율 관련 긴 문서를 임원 보고용으로 3문단 요약해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,1362,675,2037,0.83,2026-01-13 17:55:00
87,마케팅팀,user_b05_mkt_32,광고 클릭률 성과 데이터를 표로 요약하고 해석해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4o-mini,820,1099,1919,1.01,2026-01-22 14:55:00
88,재무/기획팀,user_b05_finplan_16,사업 전략 성과 데이터를 표로 요약하고 해석해줘,gpt-4.1-mini,790,918,1708,1.12,2026-03-14 13:30:00
89,영업팀,user_b05_sales_21,리드 전환를 사용할 때 주의할 점을 알려줘,gpt-4o-mini,280,415,695,0.37,2026-06-08 10:27:00
90,고객지원팀,user_b05_cs_01,팀 내 공유용으로 서비스 해지 관련 아이디어를 10개 제안해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,112,293,405,0.24,2026-05-19 17:05:00
91,개발팀,user_b05_dev_36,Azure OpenAI에서 분류 기능을 구현하는 예시 코드를 작성해줘 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000이 노출된 상황도 고려해줘,gpt-4o-mini,487,1153,1640,0.96,2026-05-01 11:05:00
92,인사팀,user_b05_hr_25,상반기 면접 피드백 성과를 팀장 보고용 보고서 형식으로 정리해줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o,865,783,1648,3.83,2026-09-11 17:45:00
93,영업팀,user_b05_sales_11,데모고객D 고객의 환불 요청 문의에 대해 정중한 답변을 작성해줘,gpt-4.1-mini,348,549,897,0.63,2026-08-03 10:11:00
94,마케팅팀,user_b05_mkt_25,시장 조사의 개념을 비전공자도 이해할 수 있게 설명해줘,gpt-4.1-mini,218,262,480,0.32,2026-02-08 13:31:00
95,개발팀,user_b05_dev_04,"첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4.1-mini,1347,493,1840,0.9,2026-05-04 13:18:00
96,개발팀,user_b05_dev_14,이번 주 Python 성과를 임원 보고용 보고서 형식으로 정리해줘,gpt-4o,800,1161,1961,5.08,2026-04-25 15:54:00
97,고객지원팀,user_b05_cs_14,응답 시간 관련 긴 문서를 임원 보고용으로 3문단 요약해줘,gpt-4o-mini,1339,462,1801,0.67,2026-07-13 16:27:00
98,재무/기획팀,user_b05_finplan_06,"시장 조사 성과 데이터를 표로 요약하고 해석해줘 샘플 계약서 위약금 조항, 가상 매출 100000000원, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 포함해줘",gpt-4.1-mini,958,609,1567,0.88,2026-08-03 10:56:00
99,개발팀,user_b05_dev_01,테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘,gpt-4o-mini,505,673,1178,0.62,2026-03-11 17:00:00
100,고객지원팀,user_b05_cs_04,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o-mini,1003,687,1690,0.75,2026-04-28 16:00:00
101,영업팀,user_b05_sales_15,리드 전환 용어의 의미와 예시를 간단히 정리해줘 가상의 인사평가 문구와 면접 피드백 예시를 포함해줘,gpt-4o-mini,185,495,680,0.41,2026-02-19 13:11:00
102,고객지원팀,user_b05_cs_10,계약 성공률 지표를 기준으로 다음 달 예상 리스크를 설명해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4.1,505,803,1308,4.17,2026-01-28 12:26:00
103,마케팅팀,user_b05_mkt_32,Node.js 용어의 의미와 예시를 간단히 정리해줘,gpt-4o-mini,134,492,626,0.39,2026-02-05 14:00:00
104,고객지원팀,user_b05_cs_15,전환율 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘,gpt-4o-mini,926,764,1690,0.79,2026-06-22 15:03:00
105,마케팅팀,user_b05_mkt_19,팀 내 공유용으로 랜딩페이지 이탈률 관련 아이디어를 10개 제안해줘,gpt-4.1-mini,152,264,416,0.3,2026-06-29 10:15:00
106,인사팀,user_b05_hr_01,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o,1263,797,2060,4.36,2026-02-06 11:37:00
107,재무/기획팀,user_b05_finplan_15,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,928,642,1570,0.7,2026-01-29 09:49:00
108,재무/기획팀,user_b05_finplan_19,"MAU 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘",gpt-4o-mini,877,1238,2115,1.12,2026-03-31 09:56:00
109,영업팀,user_b05_sales_02,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4.1-mini,907,381,1288,0.65,2026-01-22 09:13:00
110,인사팀,user_b05_hr_32,상반기 면접 피드백 성과를 실무자 공유용 보고용 보고서 형식으로 정리해줘 참고용 가짜 이메일: demo.user@example.invalid,gpt-4o-mini,853,1088,1941,1.01,2026-09-18 10:09:00
111,마케팅팀,user_b05_mkt_24,PostgreSQL에서 CSV 업로드 기능을 구현하는 예시 코드를 작성해줘 테스트 이메일 sample.notice@example.invalid 기준으로 작성해줘,gpt-4o,655,1021,1676,4.41,2026-01-28 15:16:00
112,영업팀,user_b05_sales_20,부서별 사용량 데이터를 보고 이상치와 반복 패턴을 찾아줘,gpt-4o-mini,540,653,1193,0.61,2026-09-03 09:58:00
113,영업팀,user_b05_sales_12,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘",gpt-4o-mini,779,770,1549,0.76,2026-02-07 12:20:00
114,마케팅팀,user_b05_mkt_15,이번 주 시장 조사 성과를 팀장 보고용 보고서 형식으로 정리해줘,gpt-4o-mini,641,859,1500,0.79,2026-05-09 17:16:00
115,개발팀,user_b05_dev_12,FastAPI 용어의 의미와 예시를 간단히 정리해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o,198,397,595,1.65,2026-03-23 12:09:00
116,고객지원팀,user_b05_cs_10,기능 사용률 지표를 기준으로 다음 달 예상 리스크를 설명해줘,gpt-4o-mini,623,797,1420,0.74,2026-03-27 16:10:00
117,영업팀,user_b05_sales_12,"리드 육성 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 샘플 문의 연락처 010-1234-0000을 포함해줘",gpt-4o-mini,670,1083,1753,0.96,2026-08-20 15:15:00
118,마케팅팀,user_b05_mkt_23,"다음 회의록을 의사결정 사항, 담당자, 일정으로 나눠 요약해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘",gpt-4.1,1060,683,1743,4.48,2026-07-20 09:10:00
119,마케팅팀,user_b05_mkt_06,브랜드 검색량 성과 데이터를 표로 요약하고 해석해줘 샘플 문의 연락처 010-1234-0000을 포함해줘,gpt-4o-mini,1012,1076,2088,1.04,2026-08-11 17:47:00
120,고객지원팀,user_b05_cs_05,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4.1-mini,1382,606,1988,1.01,2026-07-23 17:32:00
121,고객지원팀,user_b05_cs_08,환불 정책 관련 긴 문서를 임원 보고용으로 3문단 요약해줘,gpt-4o,746,426,1172,2.42,2026-03-13 09:08:00
122,인사팀,user_b05_hr_19,테스트용으로 로그 조회 모듈의 단위 테스트 코드를 만들어줘,gpt-4.1-mini,990,1194,2184,1.44,2026-02-22 12:09:00
123,마케팅팀,user_b05_mkt_31,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,371,737,1108,0.63,2026-09-17 17:19:00
124,고객지원팀,user_b05_cs_04,데모고객D에게 보낼 후속 안내 메일을 작성해줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o,571,738,1309,3.31,2026-06-05 16:54:00
125,고객지원팀,user_b05_cs_14,테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,632,581,1213,0.58,2026-03-15 10:28:00
126,마케팅팀,user_b05_mkt_27,상반기 시장 조사 성과를 경영진 보고용 보고서 형식으로 정리해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4o-mini,376,1138,1514,0.92,2026-05-11 16:51:00
127,재무/기획팀,user_b05_finplan_12,기능 사용률 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4.1-mini,601,994,1595,1.13,2026-06-23 15:56:00
128,고객지원팀,user_b05_cs_04,서비스 해지를 사용할 때 주의할 점을 알려줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4o-mini,240,492,732,0.42,2026-08-11 11:14:00
129,개발팀,user_b05_dev_36,비동기 처리 용어의 의미와 예시를 간단히 정리해줘,gpt-4o-mini,316,385,701,0.36,2026-09-23 13:23:00
130,마케팅팀,user_b05_mkt_03,테스트용으로 로그 조회 모듈의 단위 테스트 코드를 만들어줘,gpt-4o-mini,821,1412,2233,1.23,2026-05-16 11:08:00
131,고객지원팀,user_b05_cs_08,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4.1-mini,1293,546,1839,0.93,2026-08-31 11:04:00
132,영업팀,user_b05_sales_16,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘,gpt-4o,774,541,1315,2.86,2026-09-15 15:26:00
133,영업팀,user_b05_sales_13,영업팀에서 공유할 리드 육성 결과 보고서를 1페이지 분량으로 작성해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4.1-mini,808,1222,2030,1.41,2026-01-02 10:43:00
134,인사팀,user_b05_hr_22,첨부 문서의 주요 쟁점과 후속 조치 사항을 정리해줘,gpt-4.1-mini,1212,727,1939,1.07,2026-01-25 10:44:00
