log_id,department,user_hash,prompt_text,model,input_tokens,output_tokens,total_tokens,cost,created_at
84,고객지원팀,user_b03_cs_24,React 용어의 의미와 예시를 간단히 정리해줘,gpt-4o-mini,353,445,798,0.41,2026-03-16 17:03:00
85,마케팅팀,user_b03_mkt_18,팀 내 공유용으로 시장 조사 관련 아이디어를 10개 제안해줘,gpt-4o-mini,294,444,738,0.4,2026-02-13 09:20:00
86,영업팀,user_b03_sales_11,"팀 내 공유용으로 매출 관련 아이디어를 10개 제안해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,321,405,726,0.38,2026-06-10 14:16:00
87,고객지원팀,user_b03_cs_04,고객지원팀에서 공유할 구독 상품 결과 보고서를 1페이지 분량으로 작성해줘,gpt-4.1-mini,743,843,1586,1.03,2026-07-15 15:12:00
88,인사팀,user_b03_hr_02,"교육 만족도 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 가상 매출 100000000원, 비용 70000000원 기준으로 작성해줘",gpt-4o-mini,565,1031,1596,0.89,2026-04-09 14:51:00
89,마케팅팀,user_b03_mkt_19,신제품 캠페인와 SQLAlchemy의 차이를 비교해줘,gpt-4o-mini,100,282,382,0.23,2026-05-09 14:04:00
90,영업팀,user_b03_sales_01,"리드 전환 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘",gpt-4o-mini,564,901,1465,0.8,2026-06-13 10:02:00
91,영업팀,user_b03_sales_11,견적 안내 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4o-mini,545,1261,1806,1.06,2026-04-19 13:11:00
92,영업팀,user_b03_sales_15,테스트용으로 점수 계산 모듈의 단위 테스트 코드를 만들어줘,gpt-4o,596,1375,1971,5.59,2026-09-11 10:11:00
93,재무/기획팀,user_b03_finplan_07,정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,804,587,1391,0.63,2026-03-15 17:25:00
94,인사팀,user_b03_hr_14,"HR 리더십 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘 가상고객A와 가상고객B 사례를 포함해줘",gpt-4o-mini,839,960,1799,0.91,2026-07-18 15:41:00
95,인사팀,user_b03_hr_04,"Python에서 분류 기능을 구현하는 예시 코드를 작성해줘 가상의 인사평가 문구, 면접 피드백, 연락처 010-0000-0000, demo.user@example.invalid를 포함해줘",gpt-4o-mini,1067,1410,2477,1.3,2026-04-15 10:17:00
96,마케팅팀,user_b03_mkt_25,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘,gpt-4o,538,386,924,2.02,2026-05-23 16:07:00
97,마케팅팀,user_b03_mkt_19,"가상 구독 상품 사용자 고객의 구독 플랜 변경 문의에 대해 정중한 답변을 작성해줘 샘플 계약서 위약금 조항, 가상 매출 100000000원, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 포함해줘",gpt-4.1-mini,569,441,1010,0.6,2026-03-30 13:34:00
98,마케팅팀,user_b03_mkt_01,캠페인 ROAS와 FastAPI의 차이를 비교해줘,gpt-4o,152,364,516,1.47,2026-07-07 09:14:00
99,재무/기획팀,user_b03_finplan_22,"정책 문서에서 위험 조항과 확인 필요 항목만 추려줘 샘플 계약서 위약금 조항, 가상 매출 100000000원, 테스트 문자열 API_KEY_SAMPLE_DO_NOT_USE_0000을 포함해줘",gpt-4o-mini,835,570,1405,0.63,2026-04-16 13:53:00
100,인사팀,user_b03_hr_03,가상 구독 상품 사용자에게 보낼 후속 안내 메일을 작성해줘,gpt-4o-mini,539,302,841,0.36,2026-09-15 13:23:00
101,인사팀,user_b03_hr_10,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘,gpt-4o-mini,416,407,823,0.4,2026-01-30 17:41:00
102,영업팀,user_b03_sales_06,다음 에러 상황을 기준으로 원인과 수정 코드를 제안해줘: TimeoutError: request exceeded limit 예산 초과 가능성과 비용 절감 금액 30000000원을 포함해줘,gpt-4o-mini,757,930,1687,0.87,2026-07-30 14:41:00
103,인사팀,user_b03_hr_06,인사팀에서 공유할 교육 만족도 결과 보고서를 1페이지 분량으로 작성해줘,gpt-4.1-mini,439,761,1200,0.85,2026-08-17 10:04:00
104,마케팅팀,user_b03_mkt_11,마케팅팀에서 공유할 랜딩페이지 이탈률 결과 보고서를 1페이지 분량으로 작성해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4.1-mini,479,861,1340,0.96,2026-07-13 17:30:00
105,영업팀,user_b03_sales_11,분기 영업 전략 문서에서 핵심 내용과 후속 액션을 5개 bullet로 요약해줘,gpt-4o-mini,1078,546,1624,0.67,2026-06-09 15:05:00
106,고객지원팀,user_b03_cs_23,"환불 정책 진행 상황을 배경, 주요 성과, 이슈, 다음 계획으로 나눠 보고서 초안을 작성해줘",gpt-4o,770,1237,2007,5.32,2026-04-22 11:02:00
107,마케팅팀,user_b03_mkt_17,이번 주 신제품 캠페인 성과를 경영진 보고용 보고서 형식으로 정리해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o-mini,811,1022,1833,0.95,2026-04-13 11:08:00
108,고객지원팀,user_b03_cs_08,배송 지연 관련 긴 문서를 임원 보고용으로 3문단 요약해줘,gpt-4.1-mini,897,780,1677,1.02,2026-08-09 11:52:00
109,영업팀,user_b03_sales_20,기능 사용률 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘,gpt-4.1-mini,475,1049,1524,1.14,2026-06-03 13:46:00
110,영업팀,user_b03_sales_18,PostgreSQL에서 추천 후보 기능을 구현하는 예시 코드를 작성해줘,gpt-4.1,781,750,1531,4.35,2026-02-02 17:09:00
111,영업팀,user_b03_sales_09,테스트용으로 파일 검증 모듈의 단위 테스트 코드를 만들어줘 샘플 계약서의 위약금 조항과 해지 조건을 포함해줘,gpt-4o-mini,727,1160,1887,1.03,2026-04-21 11:03:00
112,고객지원팀,user_b03_cs_20,환불 정책 성과 데이터를 표로 요약하고 해석해줘 참고용 가짜 연락처: 010-0000-0000,gpt-4o,737,865,1602,3.96,2026-08-18 14:10:00
113,영업팀,user_b03_sales_12,리드 육성 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4.1-mini,415,896,1311,0.97,2026-02-24 16:21:00
114,재무/기획팀,user_b03_finplan_31,분류 API 응답을 파싱해서 필요한 필드만 추출하는 코드를 작성해줘 샘플 고객명과 고객 불만 내용을 포함해줘,gpt-4o-mini,1104,1144,2248,1.11,2026-07-27 17:56:00
115,개발팀,user_b03_dev_15,배송 지연 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘,gpt-4o-mini,323,356,679,0.34,2026-02-22 10:39:00
116,고객지원팀,user_b03_cs_07,테스트 플랜 이용 중 발생한 문제에 대한 FAQ 답변을 작성해줘 가상고객A와 가상고객B 사례를 포함해줘,gpt-4.1-mini,607,459,1066,0.63,2026-08-14 11:09:00
117,개발팀,user_b03_dev_03,클릭률 데이터를 보고 증가/감소 원인과 개선 액션을 분석해줘 샘플 키 SAMPLE_API_KEY_DO_NOT_USE_1234를 포함해줘,gpt-4o-mini,789,987,1776,0.92,2026-09-20 14:38:00
118,영업팀,user_b03_sales_25,분기 영업 전략 지표를 바탕으로 월간 업무 보고서의 핵심 요약과 개선점을 작성해줘,gpt-4.1-mini,835,910,1745,1.12,2026-06-22 14:32:00
119,마케팅팀,user_b03_mkt_21,Node.js를 사용할 때 주의할 점을 알려줘,gpt-4.1,170,276,446,1.43,2026-05-02 17:30:00
120,마케팅팀,user_b03_mkt_07,환불 요청 관련 불만 고객에게 보낼 공감형 안내 문구를 작성해줘 샘플 문의 연락처 010-1234-0000을 포함해줘,gpt-4o-mini,562,475,1037,0.49,2026-04-12 13:13:00
121,고객지원팀,user_b03_cs_06,고객지원팀에서 공유할 FAQ 구조 결과 보고서를 1페이지 분량으로 작성해줘,gpt-4o-mini,729,691,1420,0.69,2026-08-26 15:03:00
122,재무/기획팀,user_b03_finplan_22,다음 에러 상황을 기준으로 원인과 수정 코드를 제안해줘: TypeError: NoneType object is not iterable 참고용 가짜 이메일: demo.user@example.invalid,gpt-4.1-mini,777,852,1629,1.05,2026-06-09 10:09:00
123,인사팀,user_b03_hr_02,고객 문의를 바탕으로 상담사가 사용할 5문장 이내 답변을 만들어줘 샘플 인사 민감 코멘트와 평가 등급 문구를 포함해줘,gpt-4o-mini,370,569,939,0.51,2026-04-12 12:13:00
124,마케팅팀,user_b03_mkt_08,이번 달 매출과 비용 데이터를 기반으로 핵심 인사이트를 정리해줘 샘플 법무 검토 의견과 소송 가능성 문구를 포함해줘,gpt-4o-mini,818,708,1526,0.72,2026-04-29 17:23:00
125,영업팀,user_b03_sales_05,견적 안내의 개념을 비전공자도 이해할 수 있게 설명해줘,gpt-4o-mini,152,421,573,0.34,2026-06-15 14:14:00
